rank,experiment_index,accuracy,tp,tn,fp,fn,num_samples,num_images,filter_name,kernel_size,detector_name,sobel_ksize,sobel_threshold,canny_threshold1,canny_threshold2,canny_aperture_size,canny_l2gradient,occupancy_threshold_ratio,occupied_label,empty_label
1,128,0.9809523809523809,398,426,6,10,840,15,median,7,canny,,,40,100,3,False,0.04,1,0
2,119,0.9797619047619047,401,422,10,7,840,15,median,7,canny,,,30,100,3,False,0.04,1,0
3,67,0.9785714285714285,403,419,13,5,840,15,gaussian,7,canny,,,50,120,3,False,0.03,1,0
4,111,0.9773809523809524,393,428,4,15,840,15,median,7,canny,,,20,100,3,False,0.05,1,0
5,122,0.9773809523809524,397,424,8,11,840,15,median,7,canny,,,30,120,3,False,0.04,1,0
6,107,0.9773809523809524,398,423,9,10,840,15,median,5,canny,,,50,150,3,False,0.04,1,0
7,110,0.9773809523809524,403,418,14,5,840,15,median,7,canny,,,20,100,3,False,0.04,1,0
8,130,0.9773809523809524,403,418,14,5,840,15,median,7,canny,,,40,120,3,False,0.03,1,0
9,65,0.9761904761904762,395,425,7,13,840,15,gaussian,7,canny,,,50,100,3,False,0.04,1,0
10,102,0.9761904761904762,396,424,8,12,840,15,median,5,canny,,,50,100,3,False,0.05,1,0
11,50,0.9761904761904762,397,423,9,11,840,15,gaussian,7,canny,,,30,120,3,False,0.04,1,0
12,41,0.9761904761904762,399,421,11,9,840,15,gaussian,7,canny,,,20,120,3,False,0.04,1,0
13,127,0.9761904761904762,407,413,19,1,840,15,median,7,canny,,,40,100,3,False,0.03,1,0
14,137,0.975,391,428,4,17,840,15,median,7,canny,,,50,100,3,False,0.04,1,0
15,48,0.975,392,427,5,16,840,15,gaussian,7,canny,,,30,100,3,False,0.05,1,0
16,56,0.975,399,420,12,9,840,15,gaussian,7,canny,,,40,100,3,False,0.04,1,0
17,139,0.975,401,418,14,7,840,15,median,7,canny,,,50,120,3,False,0.03,1,0
18,47,0.975,402,417,15,6,840,15,gaussian,7,canny,,,30,100,3,False,0.04,1,0
19,104,0.975,402,417,15,6,840,15,median,5,canny,,,50,120,3,False,0.04,1,0
20,115,0.975,402,417,15,6,840,15,median,7,canny,,,20,150,3,False,0.03,1,0
21,58,0.975,403,416,16,5,840,15,gaussian,7,canny,,,40,120,3,False,0.03,1,0
22,90,0.9738095238095238,394,424,8,14,840,15,median,5,canny,,,30,150,3,False,0.05,1,0
23,113,0.9738095238095238,398,420,12,10,840,15,median,7,canny,,,20,120,3,False,0.04,1,0
24,98,0.9738095238095238,399,419,13,9,840,15,median,5,canny,,,40,150,3,False,0.04,1,0
25,35,0.9738095238095238,401,417,15,7,840,15,gaussian,5,canny,,,50,150,3,False,0.04,1,0
26,136,0.9738095238095238,403,415,17,5,840,15,median,7,canny,,,50,100,3,False,0.03,1,0
27,105,0.9726190476190476,389,428,4,19,840,15,median,5,canny,,,50,120,3,False,0.05,1,0
28,96,0.9726190476190476,394,423,9,14,840,15,median,5,canny,,,40,120,3,False,0.05,1,0
29,39,0.9714285714285714,394,422,10,14,840,15,gaussian,7,canny,,,20,100,3,False,0.05,1,0
30,93,0.9714285714285714,401,415,17,7,840,15,median,5,canny,,,40,100,3,False,0.05,1,0
31,26,0.9714285714285714,402,414,18,6,840,15,gaussian,5,canny,,,40,150,3,False,0.04,1,0
32,89,0.9714285714285714,403,413,19,5,840,15,median,5,canny,,,30,150,3,False,0.04,1,0
33,64,0.9714285714285714,405,411,21,3,840,15,gaussian,7,canny,,,50,100,3,False,0.03,1,0
34,95,0.9714285714285714,406,410,22,2,840,15,median,5,canny,,,40,120,3,False,0.04,1,0
35,121,0.9714285714285714,406,410,22,2,840,15,median,7,canny,,,30,120,3,False,0.03,1,0
36,99,0.9702380952380952,388,427,5,20,840,15,median,5,canny,,,40,150,3,False,0.05,1,0
37,49,0.9702380952380952,404,411,21,4,840,15,gaussian,7,canny,,,30,120,3,False,0.03,1,0
38,101,0.9702380952380952,406,409,23,2,840,15,median,5,canny,,,50,100,3,False,0.04,1,0
39,120,0.969047619047619,384,430,2,24,840,15,median,7,canny,,,30,100,3,False,0.05,1,0
40,131,0.969047619047619,388,426,6,20,840,15,median,7,canny,,,40,120,3,False,0.04,1,0
41,133,0.969047619047619,394,420,12,14,840,15,median,7,canny,,,40,150,3,False,0.03,1,0
42,116,0.9678571428571429,387,426,6,21,840,15,median,7,canny,,,20,150,3,False,0.04,1,0
43,124,0.9678571428571429,396,417,15,12,840,15,median,7,canny,,,30,150,3,False,0.03,1,0
44,87,0.9678571428571429,401,412,20,7,840,15,median,5,canny,,,30,120,3,False,0.05,1,0
45,84,0.9678571428571429,405,408,24,3,840,15,median,5,canny,,,30,100,3,False,0.05,1,0
46,57,0.9666666666666667,383,429,3,25,840,15,gaussian,7,canny,,,40,100,3,False,0.05,1,0
47,68,0.9666666666666667,386,426,6,22,840,15,gaussian,7,canny,,,50,120,3,False,0.04,1,0
48,59,0.9666666666666667,389,423,9,19,840,15,gaussian,7,canny,,,40,120,3,False,0.04,1,0
49,52,0.9666666666666667,392,420,12,16,840,15,gaussian,7,canny,,,30,150,3,False,0.03,1,0
50,33,0.9666666666666667,395,417,15,13,840,15,gaussian,5,canny,,,50,120,3,False,0.05,1,0
51,38,0.9666666666666667,402,410,22,6,840,15,gaussian,7,canny,,,20,100,3,False,0.04,1,0
52,55,0.9666666666666667,406,406,26,2,840,15,gaussian,7,canny,,,40,100,3,False,0.03,1,0
53,106,0.9654761904761905,404,407,25,4,840,15,median,5,canny,,,50,150,3,False,0.03,1,0
54,114,0.9642857142857143,381,429,3,27,840,15,median,7,canny,,,20,120,3,False,0.05,1,0
55,61,0.9642857142857143,389,421,11,19,840,15,gaussian,7,canny,,,40,150,3,False,0.03,1,0
56,43,0.9642857142857143,393,417,15,15,840,15,gaussian,7,canny,,,20,150,3,False,0.03,1,0
57,81,0.9642857142857143,397,413,19,11,840,15,median,5,canny,,,20,150,3,False,0.05,1,0
58,30,0.9642857142857143,403,407,25,5,840,15,gaussian,5,canny,,,50,100,3,False,0.05,1,0
59,40,0.9642857142857143,404,406,26,4,840,15,gaussian,7,canny,,,20,120,3,False,0.03,1,0
60,92,0.9642857142857143,408,402,30,0,840,15,median,5,canny,,,40,100,3,False,0.04,1,0
61,70,0.9630952380952381,386,423,9,22,840,15,gaussian,7,canny,,,50,150,3,False,0.03,1,0
62,32,0.9630952380952381,405,404,28,3,840,15,gaussian,5,canny,,,50,120,3,False,0.04,1,0
63,36,0.9619047619047619,382,426,6,26,840,15,gaussian,5,canny,,,50,150,3,False,0.05,1,0
64,27,0.9619047619047619,387,421,11,21,840,15,gaussian,5,canny,,,40,150,3,False,0.05,1,0
65,142,0.9619047619047619,387,421,11,21,840,15,median,7,canny,,,50,150,3,False,0.03,1,0
66,78,0.9619047619047619,404,404,28,4,840,15,median,5,canny,,,20,120,3,False,0.05,1,0
67,97,0.9619047619047619,407,401,31,1,840,15,median,5,canny,,,40,150,3,False,0.03,1,0
68,112,0.9619047619047619,407,401,31,1,840,15,median,7,canny,,,20,120,3,False,0.03,1,0
69,140,0.9607142857142857,379,428,4,29,840,15,median,7,canny,,,50,120,3,False,0.04,1,0
70,24,0.9607142857142857,399,408,24,9,840,15,gaussian,5,canny,,,40,120,3,False,0.05,1,0
71,34,0.9607142857142857,404,403,29,4,840,15,gaussian,5,canny,,,50,150,3,False,0.03,1,0
72,86,0.9607142857142857,406,401,31,2,840,15,median,5,canny,,,30,120,3,False,0.04,1,0
73,108,0.9595238095238096,378,428,4,30,840,15,median,5,canny,,,50,150,3,False,0.05,1,0
74,17,0.9595238095238096,404,402,30,4,840,15,gaussian,5,canny,,,30,150,3,False,0.04,1,0
75,21,0.9595238095238096,407,399,33,1,840,15,gaussian,5,canny,,,40,100,3,False,0.05,1,0
76,118,0.9595238095238096,408,398,34,0,840,15,median,7,canny,,,30,100,3,False,0.03,1,0
77,66,0.9583333333333334,374,431,1,34,840,15,gaussian,7,canny,,,50,100,3,False,0.05,1,0
78,80,0.9583333333333334,405,400,32,3,840,15,median,5,canny,,,20,150,3,False,0.04,1,0
79,88,0.955952380952381,408,395,37,0,840,15,median,5,canny,,,30,150,3,False,0.03,1,0
80,44,0.9547619047619048,376,426,6,32,840,15,gaussian,7,canny,,,20,150,3,False,0.04,1,0
81,46,0.9547619047619048,407,395,37,1,840,15,gaussian,7,canny,,,30,100,3,False,0.03,1,0
82,103,0.9547619047619048,408,394,38,0,840,15,median,5,canny,,,50,120,3,False,0.03,1,0
83,42,0.9535714285714286,374,427,5,34,840,15,gaussian,7,canny,,,20,120,3,False,0.05,1,0
84,18,0.9535714285714286,390,411,21,18,840,15,gaussian,5,canny,,,30,150,3,False,0.05,1,0
85,15,0.9535714285714286,403,398,34,5,840,15,gaussian,5,canny,,,30,120,3,False,0.05,1,0
86,129,0.9523809523809523,369,431,1,39,840,15,median,7,canny,,,40,100,3,False,0.05,1,0
87,51,0.9523809523809523,370,430,2,38,840,15,gaussian,7,canny,,,30,120,3,False,0.05,1,0
88,53,0.9523809523809523,373,427,5,35,840,15,gaussian,7,canny,,,30,150,3,False,0.04,1,0
89,25,0.9523809523809523,406,394,38,2,840,15,gaussian,5,canny,,,40,150,3,False,0.03,1,0
90,23,0.9523809523809523,407,393,39,1,840,15,gaussian,5,canny,,,40,120,3,False,0.04,1,0
91,29,0.9523809523809523,408,392,40,0,840,15,gaussian,5,canny,,,50,100,3,False,0.04,1,0
92,125,0.95,372,426,6,36,840,15,median,7,canny,,,30,150,3,False,0.04,1,0
93,123,0.9476190476190476,365,431,1,43,840,15,median,7,canny,,,30,120,3,False,0.05,1,0
94,77,0.9452380952380952,408,386,46,0,840,15,median,5,canny,,,20,120,3,False,0.04,1,0
95,62,0.944047619047619,366,427,5,42,840,15,gaussian,7,canny,,,40,150,3,False,0.04,1,0
96,37,0.944047619047619,407,386,46,1,840,15,gaussian,7,canny,,,20,100,3,False,0.03,1,0
97,75,0.944047619047619,408,385,47,0,840,15,median,5,canny,,,20,100,3,False,0.05,1,0
98,83,0.944047619047619,408,385,47,0,840,15,median,5,canny,,,30,100,3,False,0.04,1,0
99,60,0.9428571428571428,361,431,1,47,840,15,gaussian,7,canny,,,40,120,3,False,0.05,1,0
100,9,0.9428571428571428,395,397,35,13,840,15,gaussian,5,canny,,,20,150,3,False,0.05,1,0
101,134,0.9404761904761905,363,427,5,45,840,15,median,7,canny,,,40,150,3,False,0.04,1,0
102,16,0.9392857142857143,407,382,50,1,840,15,gaussian,5,canny,,,30,150,3,False,0.03,1,0
103,71,0.9380952380952381,359,429,3,49,840,15,gaussian,7,canny,,,50,150,3,False,0.04,1,0
104,31,0.9380952380952381,408,380,52,0,840,15,gaussian,5,canny,,,50,120,3,False,0.03,1,0
105,94,0.9380952380952381,408,380,52,0,840,15,median,5,canny,,,40,120,3,False,0.03,1,0
106,109,0.9380952380952381,408,380,52,0,840,15,median,7,canny,,,20,100,3,False,0.03,1,0
107,8,0.9357142857142857,404,382,50,4,840,15,gaussian,5,canny,,,20,150,3,False,0.04,1,0
